IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.247.51,4,4,0.00,57.44,696.61
104.18.248.180,4,4,0.00,58.01,580.42
104.18.252.76,4,4,0.00,57.31,333.10
104.18.235.254,4,4,0.00,57.77,332.64
104.18.249.7,4,4,0.00,57.57,328.23
104.18.255.61,4,4,0.00,56.18,18.16
104.18.242.94,4,4,0.00,57.29,13.00
104.18.250.254,4,4,0.00,56.69,11.85
104.18.251.213,4,4,0.00,56.37,9.93
104.18.253.30,4,4,0.00,54.63,7.98
